company_id,company_name,company_size,industry,industry_ai_adoption_stage
1,NextGen Technologies,Small,Education,Growing
2,Future Solutions,Medium,Energy,Emerging
3,Future Analytics,Startup,Finance,Emerging
4,Global Technologies,Large,Government,Emerging
5,Future Technologies,Small,Manufacturing,Emerging
6,Future Analytics,Enterprise,Government,Growing
7,Prime Systems,Medium,Healthcare,Emerging
8,NextGen Solutions,Large,Healthcare,Emerging
9,Prime Technologies,Startup,Education,Growing
10,Global Technologies,Startup,Government,Growing
11,Prime Systems,Startup,Agriculture,Emerging
12,Prime Technologies,Medium,Education,Emerging
13,Global Systems,Enterprise,Tech,Growing
14,Global Solutions,Medium,Education,Emerging
15,Future Technologies,Large,Agriculture,Growing
16,Prime Technologies,Small,Energy,Emerging
17,NextGen Technologies,Large,Finance,Emerging
18,Global Systems,Medium,Agriculture,Growing
19,Prime Systems,Enterprise,Tech,Mature
20,Global Solutions,Large,Education,Emerging
21,Global Analytics,Enterprise,Agriculture,Growing
22,Future Analytics,Enterprise,Healthcare,Growing
23,NextGen Technologies,Medium,Education,Growing
24,NextGen Analytics,Startup,Government,Growing
25,Future Analytics,Enterprise,Energy,Emerging
26,Global Technologies,Small,Retail,Emerging
27,Global Solutions,Enterprise,Finance,Growing
28,NextGen Analytics,Large,Tech,Growing
29,Prime Solutions,Medium,Finance,Growing
30,Prime Systems,Small,Finance,Emerging
31,NextGen Technologies,Enterprise,Energy,Growing
32,Prime Systems,Small,Agriculture,Emerging
33,Prime Technologies,Large,Energy,Emerging
34,Prime Solutions,Startup,Manufacturing,Emerging
35,Future Analytics,Small,Agriculture,Emerging
36,Prime Solutions,Startup,Tech,Growing
37,Future Systems,Medium,Government,Growing
38,NextGen Technologies,Startup,Government,Growing
39,NextGen Analytics,Medium,Government,Emerging
40,NextGen Technologies,Small,Government,Growing
41,NextGen Systems,Small,Tech,Mature
42,Prime Systems,Startup,Agriculture,Growing
43,NextGen Technologies,Small,Healthcare,Growing
44,Future Solutions,Enterprise,Retail,Growing
45,NextGen Technologies,Large,Manufacturing,Emerging
46,NextGen Systems,Startup,Retail,Growing
47,NextGen Analytics,Small,Agriculture,Growing
48,Future Technologies,Large,Tech,Growing
49,Global Solutions,Small,Manufacturing,Emerging
50,Future Analytics,Large,Government,Emerging
51,Future Analytics,Small,Finance,Emerging
52,Future Technologies,Medium,Finance,Mature
53,Future Systems,Startup,Retail,Growing
54,Global Systems,Medium,Manufacturing,Growing
55,Global Solutions,Enterprise,Healthcare,Emerging
56,NextGen Technologies,Small,Manufacturing,Emerging
57,Future Systems,Medium,Finance,Mature
58,NextGen Technologies,Enterprise,Finance,Emerging
59,Global Solutions,Medium,Retail,Growing
60,Future Systems,Startup,Agriculture,Growing
61,Future Technologies,Large,Manufacturing,Growing
62,Prime Solutions,Small,Retail,Growing
63,NextGen Analytics,Startup,Manufacturing,Emerging
64,Prime Analytics,Small,Government,Growing
65,Global Technologies,Startup,Agriculture,Emerging
66,Global Solutions,Small,Retail,Emerging
67,Prime Systems,Medium,Finance,Mature
68,Global Analytics,Startup,Healthcare,Growing
69,NextGen Technologies,Enterprise,Retail,Emerging
70,Future Systems,Startup,Manufacturing,Growing
71,Prime Technologies,Large,Finance,Mature
72,Future Solutions,Small,Tech,Emerging
73,Prime Systems,Medium,Agriculture,Emerging
74,NextGen Solutions,Medium,Retail,Emerging
75,Prime Systems,Enterprise,Government,Growing
76,Future Solutions,Startup,Agriculture,Growing
77,Global Systems,Small,Healthcare,Emerging
78,NextGen Solutions,Medium,Energy,Growing
79,NextGen Solutions,Large,Manufacturing,Emerging
80,Prime Solutions,Enterprise,Energy,Emerging
81,Future Systems,Startup,Energy,Emerging
82,Future Technologies,Large,Finance,Growing
83,Global Technologies,Medium,Government,Emerging
84,Future Technologies,Enterprise,Manufacturing,Growing
85,Future Solutions,Medium,Healthcare,Growing
86,Prime Analytics,Startup,Government,Growing
87,Global Systems,Startup,Healthcare,Growing
88,NextGen Systems,Large,Agriculture,Emerging
89,Future Systems,Large,Healthcare,Emerging
90,Future Analytics,Medium,Manufacturing,Emerging
91,Global Technologies,Enterprise,Tech,Emerging
92,Global Systems,Enterprise,Tech,Mature
93,Global Systems,Large,Energy,Growing
94,Global Analytics,Large,Tech,Emerging
95,Future Technologies,Enterprise,Healthcare,Emerging
96,Future Analytics,Medium,Tech,Mature
97,NextGen Systems,Enterprise,Agriculture,Growing
98,NextGen Analytics,Small,Education,Emerging
99,Prime Systems,Startup,Government,Growing
100,Future Technologies,Large,Education,Growing
101,Prime Analytics,Startup,Education,Emerging
102,Global Systems,Enterprise,Energy,Growing
103,NextGen Analytics,Enterprise,Education,Emerging
104,Prime Technologies,Startup,Retail,Growing
105,Prime Analytics,Medium,Retail,Growing
106,NextGen Analytics,Large,Manufacturing,Emerging
107,Prime Solutions,Large,Education,Growing
108,Future Technologies,Medium,Government,Emerging
109,Global Analytics,Enterprise,Retail,Emerging
110,NextGen Solutions,Large,Retail,Growing
111,Prime Analytics,Startup,Tech,Growing
112,NextGen Solutions,Startup,Energy,Growing
113,Future Systems,Small,Energy,Growing
114,Prime Systems,Startup,Healthcare,Growing
115,Global Technologies,Medium,Education,Emerging
116,Global Technologies,Medium,Agriculture,Growing
117,Future Solutions,Large,Manufacturing,Emerging
118,Future Systems,Small,Education,Growing
119,Future Systems,Small,Tech,Emerging
120,Global Technologies,Small,Manufacturing,Growing
121,Future Systems,Medium,Energy,Emerging
122,NextGen Analytics,Enterprise,Government,Growing
123,Future Analytics,Large,Energy,Growing
124,NextGen Systems,Enterprise,Government,Emerging
125,Future Systems,Medium,Energy,Growing
126,Global Analytics,Startup,Tech,Emerging
127,Future Solutions,Small,Healthcare,Emerging
128,NextGen Solutions,Small,Government,Growing
129,Prime Systems,Small,Tech,Mature
130,NextGen Systems,Large,Retail,Growing
131,NextGen Solutions,Large,Manufacturing,Growing
132,Global Technologies,Enterprise,Government,Growing
133,Prime Systems,Startup,Retail,Emerging
134,NextGen Systems,Large,Manufacturing,Growing
135,Future Technologies,Medium,Tech,Emerging
136,Future Technologies,Small,Healthcare,Emerging
137,Future Systems,Medium,Tech,Mature
138,NextGen Solutions,Small,Retail,Growing
139,Future Solutions,Enterprise,Retail,Emerging
140,Prime Analytics,Medium,Retail,Emerging
141,NextGen Analytics,Startup,Finance,Growing
142,Prime Technologies,Small,Manufacturing,Growing
143,Future Analytics,Startup,Manufacturing,Growing
144,Global Technologies,Enterprise,Education,Growing
145,Future Solutions,Enterprise,Healthcare,Emerging
146,Prime Analytics,Enterprise,Finance,Emerging
147,Future Solutions,Startup,Education,Growing
148,Prime Technologies,Small,Finance,Mature
149,NextGen Solutions,Small,Retail,Emerging
150,Future Analytics,Small,Tech,Mature
151,Prime Systems,Large,Manufacturing,Growing
152,Global Analytics,Medium,Manufacturing,Growing
153,NextGen Technologies,Small,Retail,Emerging
154,Global Analytics,Medium,Energy,Growing
155,Global Analytics,Large,Retail,Emerging
156,NextGen Systems,Small,Finance,Mature
157,NextGen Solutions,Startup,Finance,Emerging
158,Global Systems,Small,Agriculture,Emerging
159,NextGen Analytics,Small,Government,Growing
160,NextGen Systems,Large,Retail,Emerging
161,Future Solutions,Large,Education,Growing
162,Prime Technologies,Startup,Manufacturing,Growing
163,Global Technologies,Enterprise,Retail,Growing
164,Global Systems,Large,Finance,Mature
165,Global Technologies,Medium,Government,Growing
166,Future Analytics,Small,Agriculture,Growing
167,Future Technologies,Medium,Agriculture,Growing
168,NextGen Systems,Enterprise,Tech,Mature
169,Prime Solutions,Enterprise,Education,Growing
170,Future Technologies,Large,Manufacturing,Emerging
171,Global Technologies,Large,Manufacturing,Emerging
172,NextGen Analytics,Enterprise,Retail,Emerging
173,Global Systems,Enterprise,Manufacturing,Emerging
174,Future Technologies,Large,Energy,Growing
175,Global Analytics,Medium,Education,Growing
176,Future Technologies,Startup,Education,Emerging
177,Global Solutions,Medium,Healthcare,Growing
178,Future Technologies,Medium,Agriculture,Emerging
179,Global Technologies,Small,Healthcare,Growing
180,Prime Solutions,Large,Energy,Emerging
181,Global Analytics,Small,Healthcare,Emerging
182,Global Solutions,Startup,Agriculture,Emerging
183,Prime Technologies,Large,Retail,Emerging
184,Global Analytics,Large,Agriculture,Growing
185,NextGen Analytics,Startup,Agriculture,Emerging
186,NextGen Analytics,Medium,Healthcare,Growing
187,Global Systems,Startup,Tech,Mature
188,NextGen Systems,Startup,Education,Growing
189,Prime Analytics,Startup,Retail,Growing
190,Future Technologies,Small,Energy,Emerging
191,Future Technologies,Small,Government,Emerging
192,Future Analytics,Large,Education,Emerging
193,Global Analytics,Small,Agriculture,Emerging
194,Future Analytics,Small,Retail,Emerging
195,Prime Solutions,Startup,Finance,Mature
196,Prime Analytics,Enterprise,Government,Growing
197,Future Systems,Medium,Healthcare,Growing
198,Future Solutions,Large,Healthcare,Growing
199,Global Technologies,Medium,Education,Growing
200,Global Solutions,Small,Agriculture,Emerging
201,NextGen Solutions,Startup,Retail,Growing
202,Prime Technologies,Startup,Agriculture,Emerging
203,NextGen Systems,Enterprise,Healthcare,Emerging
204,NextGen Solutions,Medium,Education,Growing
205,Prime Systems,Startup,Education,Growing
206,NextGen Technologies,Medium,Finance,Emerging
207,Global Solutions,Startup,Energy,Growing
208,NextGen Analytics,Enterprise,Retail,Growing
209,NextGen Solutions,Enterprise,Education,Emerging
210,Prime Solutions,Medium,Energy,Growing
211,Prime Solutions,Startup,Education,Growing
212,NextGen Solutions,Small,Education,Emerging
213,Global Analytics,Enterprise,Education,Emerging
214,Global Solutions,Startup,Tech,Mature
215,Future Systems,Large,Retail,Growing
216,Global Technologies,Small,Energy,Emerging
217,Prime Technologies,Small,Finance,Emerging
218,Prime Analytics,Medium,Tech,Mature
