country_id,country,region
1,Brazil,South America
2,UAE,Middle East
3,Nepal,South Asia
4,Spain,Europe
5,Taiwan,East Asia
6,Colombia,South America
7,Jordan,Middle East
8,Peru,South America
9,India,South Asia
10,Sri Lanka,South Asia
11,Australia,Oceania
12,New Zealand,Oceania
13,China,East Asia
14,Netherlands,Europe
15,Pakistan,South Asia
16,Kenya,Africa
17,Mexico,North America
18,Germany,Europe
19,Indonesia,Southeast Asia
20,Argentina,South America
21,Israel,Middle East
22,Vietnam,Southeast Asia
23,Italy,Europe
24,Singapore,Southeast Asia
25,Egypt,Africa
26,South Korea,East Asia
27,Canada,North America
28,Japan,East Asia
29,Bangladesh,South Asia
30,Chile,South America
31,Thailand,Southeast Asia
32,United States,North America
33,France,Europe
34,South Africa,Africa
35,Ghana,Africa
36,Poland,Europe
37,Qatar,Middle East
38,Morocco,Africa
39,Sweden,Europe
40,Philippines,Southeast Asia
41,United Kingdom,Europe
42,Nigeria,Africa
43,Saudi Arabia,Middle East
44,Malaysia,Southeast Asia
